================================================================================
Spectrum 112
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 577.2896
Precursor charge: 2+
Ground truth: IATGDWFTSR
Ground truth (normalized): IATGDWFTSR

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 1
Used for reranking: 1

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 1 (0.1%)
Database matches: 0 (0.0%)
Prosit predictions: 1 (0.1%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✗ (not in top 1000 candidates)

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     +42.011QELDPAAVLR        0.4002      Prosit      -8.8707     1152.6139   ✓       
135   -17.027SHLDPAAVLR        -1.0000     NotChecked  -8.3357     1060.5665   ✗       
136   -17.027QLDPPAAVLR        -1.0000     NotChecked  -8.3361     1061.5869   ✗       
137   -17.027QHVDPAAVGR        -1.0000     NotChecked  -8.3372     1031.5148   ✗       
138   -17.027QHVDPAAVLR        -1.0000     NotChecked  -8.3378     1087.5774   ✗       
139   -17.027QYLDPAVLR         -1.0000     NotChecked  -8.3387     1056.5604   ✗       
140   -17.027QHLDWAAVGR        -1.0000     NotChecked  -8.3444     1134.5570   ✗       
141   +42.011QHLSPAAVLR        -1.0000     NotChecked  -8.3545     1132.6353   ✗       
142   -17.027QSLSPAAVGR        -1.0000     NotChecked  -8.3580     967.5087    ✗       
143   -17.027QSLSPAAVLR        -1.0000     NotChecked  -8.3587     1023.5713   ✗       
144   -17.027QLLEPAAVLR        -1.0000     NotChecked  -8.3628     1091.6339   ✗       
145   -17.027QYLSPAAVGR        -1.0000     NotChecked  -8.3805     1043.5400   ✗       
146   -17.027QYLSPAAVLR        -1.0000     NotChecked  -8.3811     1099.6026   ✗       
147   -17.027QHLDPAAVLR        -1.0000     NotChecked  -8.3861     1101.5931   ✗       
148   -17.027QHLSPAAVLK        -1.0000     NotChecked  -8.4034     1045.5920   ✗       
149   -17.027QSLDYAAVLR        -1.0000     NotChecked  -8.4444     1117.5768   ✗       
150   -17.027SDPAAVLR          -1.0000     NotChecked  -8.4717     810.4236    ✗       
151   -17.027EHLDPAAVLR        -1.0000     NotChecked  -8.4788     1102.5771   ✗       
152   -17.027QTDPAAVLR         -1.0000     NotChecked  -8.5047     952.4978    ✗       
153   -17.027HSDPAAVGR         -1.0000     NotChecked  -8.5211     891.4199    ✗       
154   -17.027HSDPAAVLR         -1.0000     NotChecked  -8.5217     947.4825    ✗       
155   QELDPAAVLR               -1.0000     NotChecked  -8.5298     1110.6033   ✗       
156   +42.011QLDPAAVLR         -1.0000     NotChecked  -8.5501     1023.5713   ✗       
157   -17.027QLSDPAAVGR        -1.0000     NotChecked  -8.5528     995.5036    ✗       
158   -17.027QLSDPAAVLR        -1.0000     NotChecked  -8.5534     1051.5662   ✗       
159   -17.027QHTDPAAVGR        -1.0000     NotChecked  -8.5541     1033.4941   ✗       
160   -17.027QSLDPAAPLR        -1.0000     NotChecked  -8.5547     1049.5506   ✗       
161   -17.027QHTDPAAVLR        -1.0000     NotChecked  -8.5547     1089.5567   ✗       
162   -17.027QHGDPAAVLR        -1.0000     NotChecked  -8.5578     1045.5305   ✗       
163   QALDPAAVLR               -1.0000     NotChecked  -8.5688     1052.5978   ✗       
164   -17.027LLDPAAVGR         -1.0000     NotChecked  -8.5758     893.4971    ✗       
165   -17.027LLDPAAVLR         -1.0000     NotChecked  -8.5764     949.5597    ✗       
166   -17.027QYLDPAAPLR        -1.0000     NotChecked  -8.5771     1125.5819   ✗       
167   -17.027QSSPAAVLR         -1.0000     NotChecked  -8.5807     910.4872    ✗       
168   -17.027QHSDPAVLR         -1.0000     NotChecked  -8.5883     1004.5039   ✗       
169   -17.027QHLDGAAVLR        -1.0000     NotChecked  -8.5950     1061.5618   ✗       
170   QSSDPAAVLR               -1.0000     NotChecked  -8.5951     1042.5407   ✗       
171   -17.027QLDPAAVLK         -1.0000     NotChecked  -8.5991     936.5280    ✗       
172   +42.011QHLDPAAVGR        -1.0000     NotChecked  -8.5995     1104.5676   ✗       
173   -17.027QSLDPAAVGR        -1.0000     NotChecked  -8.6037     995.5036    ✗       
174   -17.027LSPAAVLR          -1.0000     NotChecked  -8.6037     808.4807    ✗       
175   -17.027QSLDPAAYLR        -1.0000     NotChecked  -8.6044     1115.5611   ✗       
176   QFLDPAAVLR               -1.0000     NotChecked  -8.6056     1128.6291   ✗       
177   -17.027QEVDPAAVLR        -1.0000     NotChecked  -8.6084     1079.5611   ✗       
178   -17.027HLDPAVLR          -1.0000     NotChecked  -8.6113     902.4974    ✗       
179   QPLDPAAVLR               -1.0000     NotChecked  -8.6157     1078.6135   ✗       
180   QYSDPAAVLR               -1.0000     NotChecked  -8.6175     1118.5720   ✗       
181   SLDPAAVLR                -1.0000     NotChecked  -8.6181     940.5342    ✗       
182   -17.027QHLDEAAVLR        -1.0000     NotChecked  -8.6198     1133.5829   ✗       
183   QDLDPAAVLR               -1.0000     NotChecked  -8.6255     1096.5877   ✗       
184   -17.027QYLDPAAVGR        -1.0000     NotChecked  -8.6261     1071.5349   ✗       
185   -17.027QHLPPAAVLR        -1.0000     NotChecked  -8.6263     1083.6189   ✗       
186   -17.027QHSSPAAVGR        -1.0000     NotChecked  -8.6301     991.4835    ✗       
187   -17.027QHSSPAAVLR        -1.0000     NotChecked  -8.6307     1047.5461   ✗       
188   -17.027Q+0.984HLDPAAVLR  -1.0000     NotChecked  -8.6351     1102.5771   ✗       
189   -17.027QLEPAAVLR         -1.0000     NotChecked  -8.6357     978.5498    ✗       
190   YLDPAAVLR                -1.0000     NotChecked  -8.6405     1016.5655   ✗       
191   -17.027QLLDPAVLR         -1.0000     NotChecked  -8.6431     1006.5811   ✗       
192   -17.027QAVDPAAVLR        -1.0000     NotChecked  -8.6473     1021.5556   ✗       
193   -17.027QHDDPAAVLR        -1.0000     NotChecked  -8.6474     1103.5360   ✗       
194   -17.027QHLDPAAVGK        -1.0000     NotChecked  -8.6485     1017.5243   ✗       
195   -17.027QHLDPAAVLK        -1.0000     NotChecked  -8.6491     1073.5869   ✗       
196   -17.027HLSPAAVGR         -1.0000     NotChecked  -8.6531     889.4770    ✗       
197   -17.027HLSPAAVLR         -1.0000     NotChecked  -8.6537     945.5396    ✗       
198   -17.027QALDWAAVLR        -1.0000     NotChecked  -8.6545     1124.5978   ✗       
199   -17.027QSSDWAAVLR        -1.0000     NotChecked  -8.6809     1114.5407   ✗       
200   -17.027QFVDPAAVLR        -1.0000     NotChecked  -8.6841     1097.5869   ✗       
201   -17.027QLLSPAAVGR        -1.0000     NotChecked  -8.6848     993.5607    ✗       
202   -17.027QHLEPAAVGR        -1.0000     NotChecked  -8.6851     1059.5461   ✗       
203   -17.027QLLSPAAVLR        -1.0000     NotChecked  -8.6855     1049.6233   ✗       
204   -17.027QHLEPAAVLR        -1.0000     NotChecked  -8.6857     1115.6087   ✗       
205   -17.027HSLDPAAVLR        -1.0000     NotChecked  -8.6868     1060.5665   ✗       
206   -17.027QPVDPAAVLR        -1.0000     NotChecked  -8.6943     1047.5713   ✗       
207   -17.027QALDPPAAVLR       -1.0000     NotChecked  -8.6956     1132.6241   ✗       
208   -17.027SVDPAAVLR         -1.0000     NotChecked  -8.6966     909.4920    ✗       
209   -17.027SLDWAAVLR         -1.0000     NotChecked  -8.7038     1012.5342   ✗       
210   -17.027QDVDPAAVLR        -1.0000     NotChecked  -8.7041     1065.5455   ✗       
211   QHVDPAAVLR               -1.0000     NotChecked  -8.7062     1104.6040   ✗       
212   -17.027PHLDPAAVLR        -1.0000     NotChecked  -8.7104     1070.5873   ✗       
213   -17.027YVDPAAVLR         -1.0000     NotChecked  -8.7191     985.5233    ✗       
214   -17.027QHLSPAVLR         -1.0000     NotChecked  -8.7204     1002.5611   ✗       
215   -17.027QSSDPPAAVLR       -1.0000     NotChecked  -8.7219     1122.5669   ✗       
216   -17.027YLDWAAVLR         -1.0000     NotChecked  -8.7263     1088.5655   ✗       
217   QSLSPAAVLR               -1.0000     NotChecked  -8.7271     1040.5978   ✗       
218   -17.027HLDYAAVLR         -1.0000     NotChecked  -8.7395     1039.5451   ✗       
219   -17.027SLDPPAAVLR        -1.0000     NotChecked  -8.7449     1020.5604   ✗       
220   QYLSPAAVLR               -1.0000     NotChecked  -8.7495     1116.6291   ✗       
221   -17.027YLDPPAAVLR        -1.0000     NotChecked  -8.7673     1096.5917   ✗       
222   -17.027QHLDLAAVLR        -1.0000     NotChecked  -8.7826     1117.6244   ✗       
223   -17.027QHLDPAAVLQ        -1.0000     NotChecked  -8.7877     1073.5506   ✗       
224   -17.027ESDPAAVLR         -1.0000     NotChecked  -8.7923     939.4662    ✗       
225   -17.027QHLDMAAVLR        -1.0000     NotChecked  -8.8017     1135.5808   ✗       
226   -17.027QSVSPAAVLR        -1.0000     NotChecked  -8.8056     1009.5556   ✗       
227   -17.027QSLSWAAVLR        -1.0000     NotChecked  -8.8129     1112.5978   ✗       
228   -17.027QETDPAAVLR        -1.0000     NotChecked  -8.8253     1081.5404   ✗       
229   -17.027QSDPAAVGR         -1.0000     NotChecked  -8.8257     882.4195    ✗       
230   -17.027QSDPAAVLR         -1.0000     NotChecked  -8.8264     938.4821    ✗       
231   -17.027QHSDPAAPLR        -1.0000     NotChecked  -8.8267     1073.5254   ✗       
232   -17.027QYVSPAAVLR        -1.0000     NotChecked  -8.8281     1085.5869   ✗       
233   -17.027ASDPAAVLR         -1.0000     NotChecked  -8.8312     881.4607    ✗       
234   -17.027LDPAAVGR          -1.0000     NotChecked  -8.8487     780.4130    ✗       
235   -17.027LDPAAVLR          -1.0000     NotChecked  -8.8494     836.4756    ✗       
236   -17.027HLDPAAPLR         -1.0000     NotChecked  -8.8497     971.5189    ✗       
237   -17.027QSLSPPAAVLR       -1.0000     NotChecked  -8.8539     1120.6241   ✗       
238   -17.027QATDPAAVLR        -1.0000     NotChecked  -8.8642     1023.5349   ✗       
239   -17.027FSDPAAVLR         -1.0000     NotChecked  -8.8680     957.4920    ✗       
240   -17.027QHSDPAAVGR        -1.0000     NotChecked  -8.8757     1019.4785   ✗       
241   -17.027PSDPAAVLR         -1.0000     NotChecked  -8.8781     907.4763    ✗       
242   -17.027QLLDPAAPLR        -1.0000     NotChecked  -8.8815     1075.6026   ✗       
243   -17.027DSDPAAVLR         -1.0000     NotChecked  -8.8880     925.4505    ✗       
244   HSDPAAVLR                -1.0000     NotChecked  -8.8901     964.5090    ✗       
245   -17.027HLDPAAVGR         -1.0000     NotChecked  -8.8987     917.4719    ✗       
246   -17.027HLDPAAYLR         -1.0000     NotChecked  -8.8995     1037.5294   ✗       
247   -17.027QFTDPAAVLR        -1.0000     NotChecked  -8.9011     1099.5662   ✗       
248   -17.027QESSPAAVLR        -1.0000     NotChecked  -8.9013     1039.5298   ✗       
249   +42.011QALDPAAVLR        -1.0000     NotChecked  -8.9096     1094.6084   ✗       
250   -17.027QPTDPAAVLR        -1.0000     NotChecked  -8.9112     1049.5506   ✗       
251   -17.027STDPAAVLR         -1.0000     NotChecked  -8.9135     911.4712    ✗       
252   -17.027QLDPAVLR          -1.0000     NotChecked  -8.9160     893.4971    ✗       
253   -17.027QELDPAAVLK        -1.0000     NotChecked  -8.9197     1065.5706   ✗       
254   -17.027QHADPAAVLR        -1.0000     NotChecked  -8.9201     1059.5461   ✗       
255   -17.027QDTDPAAVLR        -1.0000     NotChecked  -8.9210     1067.5247   ✗       
256   QLSDPAAVLR               -1.0000     NotChecked  -8.9219     1068.5928   ✗       
257   QHTDPAAVLR               -1.0000     NotChecked  -8.9232     1106.5832   ✗       
258   -17.027ELSPAAVLR         -1.0000     NotChecked  -8.9243     937.5233    ✗       
259   -17.027QLLDPAAVGR        -1.0000     NotChecked  -8.9305     1021.5556   ✗       
260   -17.027AHLDPAAVLR        -1.0000     NotChecked  -8.9330     1044.5716   ✗       
261   +42.011QSSDPAAVLR        -1.0000     NotChecked  -8.9359     1084.5513   ✗       
262   -17.027YTDPAAVLR         -1.0000     NotChecked  -8.9360     987.5025    ✗       
263   -17.027QASSPAAVLR        -1.0000     NotChecked  -8.9402     981.5243    ✗       
264   LLDPAAVLR                -1.0000     NotChecked  -8.9449     966.5862    ✗       
265   -17.027QSLDPAAHLR        -1.0000     NotChecked  -8.9540     1089.5567   ✗       
266   +43.006QSLDPAAVLR        -1.0000     NotChecked  -8.9558     1111.5986   ✗       
267   -17.027QELEPAAVLR        -1.0000     NotChecked  -8.9563     1107.5924   ✗       
268   +42.011QPLDPAAVLR        -1.0000     NotChecked  -8.9565     1120.6241   ✗       
269   -17.027QLSPAAVGR         -1.0000     NotChecked  -8.9578     880.4767    ✗       
270   -17.027QLSPAAVLR         -1.0000     NotChecked  -8.9584     936.5393    ✗       
271   -17.027QALDPAAVLK        -1.0000     NotChecked  -8.9586     1007.5651   ✗       
272   -17.027QHLSPAAPLR        -1.0000     NotChecked  -8.9587     1071.5825   ✗       
273   +42.011SLDPAAVLR         -1.0000     NotChecked  -8.9589     982.5447    ✗       
274   -17.027HSDPAAVLR         -1.0000     NotChecked  -8.9589     947.4825    ✗       
275   -17.027ALSPAAVLR         -1.0000     NotChecked  -8.9632     879.5178    ✗       
276   -17.027QHLDPAVGR         -1.0000     NotChecked  -8.9654     974.4934    ✗       
277   -17.027QHLDPAVLR         -1.0000     NotChecked  -8.9660     1030.5560   ✗       
278   +42.011QDLDPAAVLR        -1.0000     NotChecked  -8.9664     1138.5982   ✗       
279   QSLDPAAVGR               -1.0000     NotChecked  -8.9721     1012.5302   ✗       
280   QSLDPAAVLR               -1.0000     NotChecked  -8.9727     1068.5928   ✗       
281   -17.027HSDWAAVLR         -1.0000     NotChecked  -8.9759     1036.5090   ✗       
282   -17.027QFSSPAAVLR        -1.0000     NotChecked  -8.9770     1057.5556   ✗       
283   +42.011YLDPAAVLR         -1.0000     NotChecked  -8.9813     1058.5760   ✗       
284   -17.027QSSDPAAVLK        -1.0000     NotChecked  -8.9849     997.5080    ✗       
285   -17.027QPSSPAAVLR        -1.0000     NotChecked  -8.9872     1007.5400   ✗       
286   -17.027SSSPAAVLR         -1.0000     NotChecked  -8.9895     869.4607    ✗       
287   HHLDPAAVLR               -1.0000     NotChecked  -8.9911     1127.6200   ✗       
288   QYLDPAAVGR               -1.0000     NotChecked  -8.9945     1088.5615   ✗       
289   QYLDPAAVLR               -1.0000     NotChecked  -8.9952     1144.6241   ✗       
290   -17.027QALEPAAVLR        -1.0000     NotChecked  -8.9952     1049.5869   ✗       
291   -17.027QFLDPAAVLK        -1.0000     NotChecked  -8.9954     1083.5964   ✗       
292   -17.027QDSSPAAVLR        -1.0000     NotChecked  -8.9970     1025.5142   ✗       
293   QHSSPAAVLR               -1.0000     NotChecked  -8.9991     1064.5727   ✗       
