================================================================================
Spectrum 180
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 514.2235
Precursor charge: 2+
Ground truth: ETDDKIC+57.021F
Ground truth (normalized): ETDDKIC+57.021F

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 83
Used for reranking: 83

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 83 (8.3%)
Database matches: 25 (2.5%)
Prosit predictions: 48 (4.8%)
Failed: 10 (1.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.8324
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     ETDDKLC+57.021F          0.8324      Database    -0.7390     1026.4328   ✓       ✓
2     ETDDKLC+57.021F          0.8324      Database    -4.7348     1026.4328   ✓       ✓
3     ETDDKLC+57.021F          0.8324      Database    -6.9100     1026.4328   ✓       ✓
4     ETDDKLC+57.021F          0.8324      Database    -7.0567     1026.4328   ✓       ✓
5     ETDDKLC+57.021F          0.8324      Database    -7.3797     1026.4328   ✓       ✓
6     ETDDKLC+57.021F          0.8324      Database    -7.7773     1026.4328   ✓       ✓
7     ETDDKLC+57.021F          0.8324      Database    -9.4916     1026.4328   ✓       ✓
8     ETDDKLC+57.021F          0.8324      Database    -10.1864    1026.4328   ✓       ✓
9     ETDDKLC+57.021F          0.8324      Database    -10.1962    1026.4328   ✓       ✓
10    ETDDKLC+57.021F          0.8324      Database    -10.4428    1026.4328   ✓       ✓
11    ETDDKLC+57.021F          0.8324      Database    -10.6983    1026.4328   ✓       ✓
12    ETDDKLC+57.021F          0.8324      Database    -11.0526    1026.4328   ✓       ✓
13    ETDDKLC+57.021F          0.8324      Database    -11.3755    1026.4328   ✓       ✓
14    ETDDKLC+57.021F          0.8324      Database    -11.7731    1026.4328   ✓       ✓
15    ETDDKLC+57.021F          0.8324      Database    -12.3191    1026.4328   ✓       ✓
16    ETDDKLC+57.021F          0.8324      Database    -12.9256    1026.4328   ✓       ✓
17    ETDDKLC+57.021F          0.8324      Database    -13.0432    1026.4328   ✓       ✓
18    ETDDKLC+57.021F          0.8324      Database    -13.2277    1026.4328   ✓       ✓
19    ETDDKLC+57.021F          0.8324      Database    -13.4874    1026.4328   ✓       ✓
20    ETDDKLC+57.021F          0.8324      Database    -13.5507    1026.4328   ✓       ✓
21    ETDDKLC+57.021F          0.8324      Database    -13.9483    1026.4328   ✓       ✓
22    ETDDKLC+57.021F          0.8324      Database    -14.0950    1026.4328   ✓       ✓
23    ETDDKLC+57.021F          0.8324      Database    -14.1920    1026.4328   ✓       ✓
24    ETDDKLC+57.021F          0.8324      Database    -14.4180    1026.4328   ✓       ✓
25    ETDDKLC+57.021F          0.8324      Database    -14.4386    1026.4328   ✓       ✓
26    Q+0.984TN+0.984DKLC+57.021F0.3968      Prosit      -9.7199     1026.4328   ✓       
27    Q+0.984TN+0.984DKLC+57.021F0.3968      Prosit      -13.7157    1026.4328   ✓       
28    ETN+0.984N+0.984KLC+57.021F0.3881      Prosit      -11.0947    1026.4328   ✓       
66    DDDDKLC+57.021F          0.3212      Prosit      -14.3816    1026.3964   ✓       
67    EDDDKVC+57.021F          0.3131      Prosit      -14.5337    1026.3964   ✓       
68    ESDEKLC+57.021F          0.3055      Prosit      -13.7666    1026.4328   ✓       
69    ETDDKLC+57.021M+15.995   0.3022      Prosit      -10.1775    1026.3998   ✓       
70    ETDDKLC+57.021M+15.995   0.3022      Prosit      -14.1733    1026.3998   ✓       
71    M+15.995TDPKLC+57.021F   0.3022      Prosit      -14.0451    1026.4514   ✓       
72    QTDDKNC+57.021F          0.2842      Prosit      -13.1951    1026.4077   ✓       
73    QTDDELC+57.021F          0.2583      Prosit      -13.5087    1026.3964   ✓       
74    EVDDKLC+57.021F          -1.0000     NotChecked  -1.6031     1024.4535   ✗       
75    QTDDKLC+57.021F          -1.0000     NotChecked  -3.8524     1025.4488   ✗       
76    -17.027TDDKLC+57.021F    -1.0000     NotChecked  -4.0235     880.3637    ✗       
77    EPDDKLC+57.021F          -1.0000     NotChecked  -4.0682     1022.4379   ✗       
78    QVDDKLC+57.021F          -1.0000     NotChecked  -4.7165     1023.4695   ✗       
79    Q+0.984TDDKLC+57.021F    -1.0000     Failed      -4.8574     1026.4328   ✓       
80    -17.027VDDKLC+57.021F    -1.0000     NotChecked  -4.8876     878.3844    ✗       
81    TTDDKLC+57.021F          -1.0000     NotChecked  -5.4794     998.4379    ✗       
82    EVDDKLC+57.021F          -1.0000     NotChecked  -5.5989     1024.4535   ✗       
83    -17.027LDDKLC+57.021F    -1.0000     NotChecked  -5.6909     892.4001    ✗       
84    Q+0.984VDDKLC+57.021F    -1.0000     NotChecked  -5.7215     1024.4535   ✗       
85    DTDDKLC+57.021F          -1.0000     NotChecked  -6.0006     1012.4172   ✗       
86    ESDDKLC+57.021F          -1.0000     NotChecked  -6.0662     1012.4172   ✗       
87    LTDDKLC+57.021F          -1.0000     NotChecked  -6.0951     1010.4743   ✗       
88    +42.011TDDKLC+57.021F    -1.0000     NotChecked  -6.2135     939.4008    ✗       
89    TVDDKLC+57.021F          -1.0000     NotChecked  -6.3435     996.4586    ✗       
90    EVN+0.984DKLC+57.021F    -1.0000     NotChecked  -6.4655     1024.4535   ✗       
91    ETVDKLC+57.021F          -1.0000     NotChecked  -6.6737     1010.4743   ✗       
92    EADDKLC+57.021F          -1.0000     NotChecked  -6.7461     996.4222    ✗       
93    DVDDKLC+57.021F          -1.0000     NotChecked  -6.8647     1010.4379   ✗       
94    LVDDKLC+57.021F          -1.0000     NotChecked  -6.9592     1008.4950   ✗       
95    ETDLKLC+57.021F          -1.0000     NotChecked  -7.0091     1024.4899   ✗       
96    +42.011VDDKLC+57.021F    -1.0000     NotChecked  -7.0776     937.4215    ✗       
97    EVDN+0.984KLC+57.021F    -1.0000     NotChecked  -7.0963     1024.4535   ✗       
98    TLDDKLC+57.021F          -1.0000     NotChecked  -7.1469     1010.4743   ✗       
99    ETTDKLC+57.021F          -1.0000     NotChecked  -7.1525     1012.4535   ✗       
100   QPDDKLC+57.021F          -1.0000     NotChecked  -7.1816     1021.4539   ✗       
101   ETNDKLC+57.021F          -1.0000     NotChecked  -7.2698     1025.4488   ✗       
102   -17.027PDDKLC+57.021F    -1.0000     NotChecked  -7.3527     876.3688    ✗       
103   ETLDKLC+57.021F          -1.0000     NotChecked  -7.3538     1024.4899   ✗       
104   EVVDKLC+57.021F          -1.0000     NotChecked  -7.5378     1008.4950   ✗       
105   DLDDKLC+57.021F          -1.0000     NotChecked  -7.6680     1024.4535   ✗       
106   LLDDKLC+57.021F          -1.0000     NotChecked  -7.7625     1022.5107   ✗       
107   EVDDKLC+57.021F          -1.0000     NotChecked  -7.7741     1024.4535   ✗       
108   QTDDKLC+57.021F          -1.0000     NotChecked  -7.8482     1025.4488   ✗       
109   EVDLKLC+57.021F          -1.0000     NotChecked  -7.8732     1022.5107   ✗       
110   +42.011LDDKLC+57.021F    -1.0000     NotChecked  -7.8809     951.4372    ✗       
111   EVTDKLC+57.021F          -1.0000     NotChecked  -8.0165     1010.4743   ✗       
112   -17.027TDDKLC+57.021F    -1.0000     NotChecked  -8.0193     880.3637    ✗       
113   EPDDKLC+57.021F          -1.0000     NotChecked  -8.0640     1022.4379   ✗       
114   EVNDKLC+57.021F          -1.0000     NotChecked  -8.1339     1023.4695   ✗       
115   Q+0.984PDDKLC+57.021F    -1.0000     NotChecked  -8.1867     1022.4379   ✗       
116   ETDSKLC+57.021F          -1.0000     NotChecked  -8.2166     998.4379    ✗       
117   EVLDKLC+57.021F          -1.0000     NotChecked  -8.2179     1022.5107   ✗       
118   EVDDKLC+57.021F          -1.0000     NotChecked  -8.2438     1024.4535   ✗       
119   ELVDKLC+57.021F          -1.0000     NotChecked  -8.3412     1022.5107   ✗       
120   -17.027DDDKLC+57.021F    -1.0000     NotChecked  -8.4087     894.3429    ✗       
121   EVDDKLC+57.021F          -1.0000     NotChecked  -8.6413     1024.4535   ✗       
122   QTDDKLC+57.021F          -1.0000     NotChecked  -8.6617     1025.4488   ✗       
123   QVDDKLC+57.021F          -1.0000     NotChecked  -8.7123     1023.4695   ✗       
124   QTN+0.984DKLC+57.021F    -1.0000     NotChecked  -8.7149     1025.4488   ✗       
125   -17.027TMDKLC+57.021F    -1.0000     NotChecked  -8.7608     896.3772    ✗       
126   TPDDKLC+57.021F          -1.0000     NotChecked  -8.8087     994.4430    ✗       
127   ELTDKLC+57.021F          -1.0000     NotChecked  -8.8199     1024.4899   ✗       
128   -17.027QTDDKLC+57.021F   -1.0000     NotChecked  -8.8328     1008.4222   ✗       
129   ETDDLLC+57.021F          -1.0000     NotChecked  -8.8504     1011.4219   ✗       
130   Q+0.984TDDKLC+57.021F    -1.0000     Failed      -8.8533     1026.4328   ✓       
131   -17.027VDDKLC+57.021F    -1.0000     NotChecked  -8.8834     878.3844    ✗       
132   -17.027TN+0.984DKLC+57.021F-1.0000     NotChecked  -8.8859     880.3637    ✗       
133   ETDDSLC+57.021F          -1.0000     NotChecked  -8.9110     985.3699    ✗       
134   EPN+0.984DKLC+57.021F    -1.0000     NotChecked  -8.9307     1022.4379   ✗       
135   -17.027TEDKLC+57.021F    -1.0000     NotChecked  -8.9414     894.3793    ✗       
136   ETDPKLC+57.021F          -1.0000     NotChecked  -8.9523     1008.4586   ✗       
137   -17.027EDDKLC+57.021F    -1.0000     NotChecked  -9.0287     908.3586    ✗       
138   EVDSKLC+57.021F          -1.0000     NotChecked  -9.0807     996.4586    ✗       
139   QSDDKLC+57.021F          -1.0000     NotChecked  -9.1796     1011.4331   ✗       
140   DPDDKLC+57.021F          -1.0000     NotChecked  -9.3298     1008.4222   ✗       
141   QTDN+0.984KLC+57.021F    -1.0000     NotChecked  -9.3456     1025.4488   ✗       
142   -17.027SDDKLC+57.021F    -1.0000     NotChecked  -9.3506     866.3480    ✗       
143   LPDDKLC+57.021F          -1.0000     NotChecked  -9.4243     1006.4794   ✗       
144   -17.027KDDKLC+57.021F    -1.0000     NotChecked  -9.4301     907.4110    ✗       
145   TTDDKLC+57.021F          -1.0000     NotChecked  -9.4753     998.4379    ✗       
146   -17.027TDN+0.984KLC+57.021F-1.0000     NotChecked  -9.5167     880.3637    ✗       
147   QVDDKLC+57.021F          -1.0000     NotChecked  -9.5258     1023.4695   ✗       
148   +42.011PDDKLC+57.021F    -1.0000     NotChecked  -9.5427     935.4059    ✗       
149   ETDGKLC+57.021F          -1.0000     NotChecked  -9.5594     968.4273    ✗       
150   EPDN+0.984KLC+57.021F    -1.0000     NotChecked  -9.5614     1022.4379   ✗       
151   QVN+0.984DKLC+57.021F    -1.0000     NotChecked  -9.5789     1023.4695   ✗       
152   -17.027VMDKLC+57.021F    -1.0000     NotChecked  -9.6249     894.3979    ✗       
153   ETDKLC+57.021F           -1.0000     NotChecked  -9.6651     911.4059    ✗       
154   -17.027LDDKLC+57.021F    -1.0000     NotChecked  -9.6867     892.4001    ✗       
155   -17.027QVDDKLC+57.021F   -1.0000     NotChecked  -9.6969     1006.4430   ✗       
156   EVDDLLC+57.021F          -1.0000     NotChecked  -9.7145     1009.4426   ✗       
157   Q+0.984VDDKLC+57.021F    -1.0000     NotChecked  -9.7173     1024.4535   ✗       
158   -17.027VN+0.984DKLC+57.021F-1.0000     NotChecked  -9.7500     878.3844    ✗       
159   EVDDSLC+57.021F          -1.0000     NotChecked  -9.7751     983.3906    ✗       
160   QTVDKLC+57.021F          -1.0000     NotChecked  -9.7872     1009.4903   ✗       
161   ETDTKLC+57.021F          -1.0000     NotChecked  -9.7960     1012.4535   ✗       
162   -17.027VEDKLC+57.021F    -1.0000     NotChecked  -9.8055     892.4001    ✗       
163   EVDPKLC+57.021F          -1.0000     NotChecked  -9.8164     1006.4794   ✗       
164   MPDDKLC+57.021F          -1.0000     NotChecked  -9.8497     1024.4358   ✗       
165   QADDKLC+57.021F          -1.0000     NotChecked  -9.8595     995.4382    ✗       
166   TDDDKLC+57.021F          -1.0000     NotChecked  -9.8647     1012.4172   ✗       
167   ETDNKLC+57.021F          -1.0000     NotChecked  -9.8676     1025.4488   ✗       
168   ELDSKLC+57.021F          -1.0000     NotChecked  -9.8840     1010.4743   ✗       
169   -17.027TVDKLC+57.021F    -1.0000     NotChecked  -9.9582     864.4051    ✗       
170   DTDDKLC+57.021F          -1.0000     NotChecked  -9.9964     1012.4172   ✗       
171   EPVDKLC+57.021F          -1.0000     NotChecked  -10.0030    1006.4794   ✗       
172   QTDDKLC+57.021F          -1.0000     NotChecked  -10.0234    1025.4488   ✗       
173   -17.027ADDKLC+57.021F    -1.0000     NotChecked  -10.0306    850.3531    ✗       
174   ESDDKLC+57.021F          -1.0000     NotChecked  -10.0620    1012.4172   ✗       
175   LTDDKLC+57.021F          -1.0000     NotChecked  -10.0909    1010.4743   ✗       
176   -17.027MDDKLC+57.021F    -1.0000     NotChecked  -10.1201    910.3565    ✗       
177   QTDLKLC+57.021F          -1.0000     NotChecked  -10.1225    1023.5059   ✗       
178   ETDDKVC+57.021F          -1.0000     NotChecked  -10.1485    1012.4172   ✗       
179   QTDDKLC+57.021F          -1.0000     NotChecked  -10.1701    1025.4488   ✗       
180   Q+0.984SDDKLC+57.021F    -1.0000     NotChecked  -10.1846    1012.4172   ✗       
181   -17.027TDDKLC+57.021F    -1.0000     NotChecked  -10.1945    880.3637    ✗       
182   +42.011TDDKLC+57.021F    -1.0000     NotChecked  -10.2093    939.4008    ✗       
183   QVDN+0.984KLC+57.021F    -1.0000     NotChecked  -10.2097    1023.4695   ✗       
184   TTMDKLC+57.021F          -1.0000     NotChecked  -10.2168    1014.4514   ✗       
185   EPDDKLC+57.021F          -1.0000     NotChecked  -10.2392    1022.4379   ✗       
186   QTTDKLC+57.021F          -1.0000     NotChecked  -10.2659    1011.4695   ✗       
187   -17.027TDLKLC+57.021F    -1.0000     NotChecked  -10.2936    878.4208    ✗       
188   EPDLKLC+57.021F          -1.0000     NotChecked  -10.3383    1020.4950   ✗       
189   TVDDKLC+57.021F          -1.0000     NotChecked  -10.3393    996.4586    ✗       
190   -17.027TDDKLC+57.021F    -1.0000     NotChecked  -10.3412    880.3637    ✗       
191   TTN+0.984DKLC+57.021F    -1.0000     NotChecked  -10.3419    998.4379    ✗       
192   EVDDKLC+57.021F          -1.0000     NotChecked  -10.3557    1024.4535   ✗       
193   -17.027VDN+0.984KLC+57.021F-1.0000     NotChecked  -10.3808    878.3844    ✗       
194   QTNDKLC+57.021F          -1.0000     NotChecked  -10.3832    1024.4648   ✗       
195   ETDDALC+57.021F          -1.0000     NotChecked  -10.3850    969.3750    ✗       
196   TTEDKLC+57.021F          -1.0000     NotChecked  -10.3973    1012.4535   ✗       
197   EVDGKLC+57.021F          -1.0000     NotChecked  -10.4235    966.4481    ✗       
198   ETDDTLC+57.021F          -1.0000     NotChecked  -10.4271    999.3855    ✗       
199   -17.027LMDKLC+57.021F    -1.0000     NotChecked  -10.4282    908.4136    ✗       
200   -17.027TTDKLC+57.021F    -1.0000     NotChecked  -10.4369    866.3844    ✗       
201   EVN+0.984DKLC+57.021F    -1.0000     NotChecked  -10.4613    1024.4535   ✗       
202   QTLDKLC+57.021F          -1.0000     NotChecked  -10.4672    1023.5059   ✗       
203   LDDDKLC+57.021F          -1.0000     NotChecked  -10.4803    1024.4535   ✗       
204   EPTDKLC+57.021F          -1.0000     NotChecked  -10.4817    1008.4586   ✗       
205   ELDDLLC+57.021F          -1.0000     NotChecked  -10.5178    1023.4583   ✗       
206   EVDKLC+57.021F           -1.0000     NotChecked  -10.5292    909.4266    ✗       
207   -17.027LN+0.984DKLC+57.021F-1.0000     NotChecked  -10.5533    892.4001    ✗       
208   ETDDKC+57.021F           -1.0000     NotChecked  -10.5536    913.3487    ✗       
209   -17.027TNDKLC+57.021F    -1.0000     NotChecked  -10.5543    879.3796    ✗       
210   ELDDSLC+57.021F          -1.0000     NotChecked  -10.5784    997.4063    ✗       
211   Q+0.984VN+0.984DKLC+57.021F-1.0000     NotChecked  -10.5840    1024.4535   ✗       
212   +42.011DDDKLC+57.021F    -1.0000     NotChecked  -10.5987    953.3800    ✗       
213   EPNDKLC+57.021F          -1.0000     NotChecked  -10.5990    1021.4539   ✗       
214   -17.027LEDKLC+57.021F    -1.0000     NotChecked  -10.6088    906.4157    ✗       
215   ETDDGLC+57.021F          -1.0000     NotChecked  -10.6091    955.3593    ✗       
216   ELDPKLC+57.021F          -1.0000     NotChecked  -10.6197    1020.4950   ✗       
217   -17.027TLDKLC+57.021F    -1.0000     NotChecked  -10.6383    878.4208    ✗       
218   QVVDKLC+57.021F          -1.0000     NotChecked  -10.6512    1007.5110   ✗       
219   EVDTKLC+57.021F          -1.0000     NotChecked  -10.6601    1010.4743   ✗       
220   -17.027ETDDKLC+57.021F   -1.0000     NotChecked  -10.6642    1009.4063   ✗       
221   ETVDKLC+57.021F          -1.0000     NotChecked  -10.6696    1010.4743   ✗       
222   EPLDKLC+57.021F          -1.0000     NotChecked  -10.6830    1020.4950   ✗       
223   EPDDKLC+57.021F          -1.0000     NotChecked  -10.7089    1022.4379   ✗       
224   EVDNKLC+57.021F          -1.0000     NotChecked  -10.7317    1023.4695   ✗       
225   EADDKLC+57.021F          -1.0000     NotChecked  -10.7419    996.4222    ✗       
226   -17.027TM+15.995DKLC+57.021F-1.0000     NotChecked  -10.7429    912.3721    ✗       
227   Q+0.984TVDKLC+57.021F    -1.0000     NotChecked  -10.7922    1010.4743   ✗       
228   TSDDKLC+57.021F          -1.0000     NotChecked  -10.8066    984.4222    ✗       
229   -17.027VVDKLC+57.021F    -1.0000     NotChecked  -10.8223    862.4259    ✗       
230   DVDDKLC+57.021F          -1.0000     NotChecked  -10.8605    1010.4379   ✗       
231   DTN+0.984DKLC+57.021F    -1.0000     NotChecked  -10.8630    1012.4172   ✗       
232   Q+0.984ADDKLC+57.021F    -1.0000     NotChecked  -10.8645    996.4222    ✗       
233   TKDDKLC+57.021F          -1.0000     NotChecked  -10.8861    1025.4852   ✗       
234   QVDDKLC+57.021F          -1.0000     NotChecked  -10.8875    1023.4695   ✗       
235   QTDDKLC+57.021F          -1.0000     NotChecked  -10.8907    1025.4488   ✗       
236   ETDDKLF                  -1.0000     NotChecked  -10.9058    866.4022    ✗       
237   ESN+0.984DKLC+57.021F    -1.0000     NotChecked  -10.9286    1012.4172   ✗       
238   ETDDKLC+57.021M          -1.0000     NotChecked  -10.9372    1010.4049   ✗       
239   EVDDKNC+57.021F          -1.0000     NotChecked  -10.9458    1025.4124   ✗       
240   +42.011TMDKLC+57.021F    -1.0000     NotChecked  -10.9508    955.4143    ✗       
241   LVDDKLC+57.021F          -1.0000     NotChecked  -10.9550    1008.4950   ✗       
242   LTN+0.984DKLC+57.021F    -1.0000     NotChecked  -10.9576    1010.4743   ✗       
243   TTDN+0.984KLC+57.021F    -1.0000     NotChecked  -10.9727    998.4379    ✗       
244   ESEDKLC+57.021F          -1.0000     Failed      -10.9841    1026.4328   ✓       
245   QVDLKLC+57.021F          -1.0000     NotChecked  -10.9866    1021.5267   ✗       
246   EVDDKLC+57.021F          -1.0000     NotChecked  -11.0029    1024.4535   ✗       
247   ETDLKLC+57.021F          -1.0000     NotChecked  -11.0049    1024.4899   ✗       
248   EVDDKVC+57.021F          -1.0000     NotChecked  -11.0126    1010.4379   ✗       
249   LTEDKLC+57.021F          -1.0000     NotChecked  -11.0130    1024.4899   ✗       
250   Q+0.984TDDKLC+57.021F    -1.0000     Failed      -11.0284    1026.4328   ✓       
251   EVDDKLC+57.021M+15.995   -1.0000     NotChecked  -11.0416    1024.4205   ✗       
252   EVDDKLC+57.021F          -1.0000     NotChecked  -11.0504    1024.4535   ✗       
253   -17.027VDDKLC+57.021F    -1.0000     NotChecked  -11.0586    878.3844    ✗       
254   EDVDKLC+57.021F          -1.0000     NotChecked  -11.0590    1024.4535   ✗       
255   EVDDKLC+57.021F          -1.0000     NotChecked  -11.0603    1024.4535   ✗       
256   -17.027TDDKLC+57.021F    -1.0000     NotChecked  -11.0617    880.3637    ✗       
257   +42.011VDDKLC+57.021F    -1.0000     NotChecked  -11.0734    937.4215    ✗       
258   +42.011TN+0.984DKLC+57.021F-1.0000     NotChecked  -11.0759    939.4008    ✗       
259   TVMDKLC+57.021F          -1.0000     NotChecked  -11.0809    1012.4722   ✗       
260   EVDN+0.984KLC+57.021F    -1.0000     NotChecked  -11.0921    1024.4535   ✗       
261   EPDDKLC+57.021F          -1.0000     NotChecked  -11.1065    1022.4379   ✗       
262   Q+0.984TDLKLC+57.021F    -1.0000     NotChecked  -11.1275    1024.4899   ✗       
263   QVTDKLC+57.021F          -1.0000     NotChecked  -11.1300    1009.4903   ✗       
264   +42.011TEDKLC+57.021F    -1.0000     NotChecked  -11.1314    953.4164    ✗       
265   TLDDKLC+57.021F          -1.0000     NotChecked  -11.1427    1010.4743   ✗       
