================================================================================
Spectrum 139
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 399.2191
Precursor charge: 2+
Ground truth: IHWVDK
Ground truth (normalized): IHWVDK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 2
Used for reranking: 2

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 2 (0.2%)
Database matches: 0 (0.0%)
Prosit predictions: 1 (0.1%)
Failed: 1 (0.1%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✗ (not in top 1000 candidates)

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     HLVC+57.021LR            0.2580      Prosit      -11.1406    796.4378    ✓       
79    HLLVLK                   -1.0000     NotChecked  -10.1941    721.4850    ✗       
80    HLLYLK                   -1.0000     NotChecked  -10.2082    785.4800    ✗       
81    HLEC+57.021VK            -1.0000     NotChecked  -10.2159    784.3902    ✗       
82    HLLHHK                   -1.0000     NotChecked  -10.2189    783.4504    ✗       
83    HLTLK                    -1.0000     NotChecked  -10.2194    610.3802    ✗       
84    HLKLK                    -1.0000     NotChecked  -10.2214    637.4275    ✗       
85    HLLLVK                   -1.0000     NotChecked  -10.2269    721.4850    ✗       
86    HLLLYK                   -1.0000     NotChecked  -10.2303    785.4800    ✗       
87    HLVC+57.021LK            -1.0000     NotChecked  -10.2344    768.4316    ✗       
88    HLHHVK                   -1.0000     NotChecked  -10.2390    769.4347    ✗       
89    HLVHVK                   -1.0000     NotChecked  -10.2418    731.4442    ✗       
90    HLVHYK                   -1.0000     NotChecked  -10.2451    795.4392    ✗       
91    HLYVK                    -1.0000     NotChecked  -10.2558    658.3802    ✗       
92    HLELNK                   -1.0000     NotChecked  -10.2596    752.4181    ✗       
93    HLETVK                   -1.0000     NotChecked  -10.2608    725.4072    ✗       
94    HLTC+57.021K             -1.0000     NotChecked  -10.2623    657.3268    ✗       
95    HLETYK                   -1.0000     NotChecked  -10.2642    789.4021    ✗       
96    HLKC+57.021K             -1.0000     NotChecked  -10.2643    684.3741    ✗       
97    HLTHLK                   -1.0000     NotChecked  -10.2676    747.4391    ✗       
98    HLKHLK                   -1.0000     NotChecked  -10.2696    774.4864    ✗       
99    HLLC+57.021VK            -1.0000     NotChecked  -10.2699    768.4316    ✗       
100   HLYYK                    -1.0000     NotChecked  -10.2699    722.3752    ✗       
101   HLERVK                   -1.0000     NotChecked  -10.2707    780.4606    ✗       
102   HLHTLK                   -1.0000     NotChecked  -10.2767    747.4392    ✗       
103   HLENVK                   -1.0000     NotChecked  -10.2776    738.4024    ✗       
104   HLVTLK                   -1.0000     NotChecked  -10.2794    709.4487    ✗       
105   HLYLLK                   -1.0000     NotChecked  -10.2866    785.4800    ✗       
106   HLEHSK                   -1.0000     NotChecked  -10.2891    749.3820    ✗       
107   HLVRLK                   -1.0000     NotChecked  -10.2893    764.5021    ✗       
108   HLHNLK                   -1.0000     NotChecked  -10.2935    760.4344    ✗       
109   HLEEVK                   -1.0000     NotChecked  -10.2946    753.4021    ✗       
110   HLEHEK                   -1.0000     NotChecked  -10.2950    791.3926    ✗       
111   HLVNLK                   -1.0000     NotChecked  -10.2962    722.4439    ✗       
112   HLNHK                    -1.0000     NotChecked  -10.3012    647.3503    ✗       
113   HLTTK                    -1.0000     NotChecked  -10.3073    598.3438    ✗       
114   HLKTK                    -1.0000     NotChecked  -10.3092    625.3911    ✗       
115   HLHELK                   -1.0000     NotChecked  -10.3104    775.4341    ✗       
116   HLVELK                   -1.0000     NotChecked  -10.3131    737.4436    ✗       
117   HLLLNK                   -1.0000     NotChecked  -10.3136    736.4596    ✗       
118   HLLTVK                   -1.0000     NotChecked  -10.3148    709.4487    ✗       
119   HLPLK                    -1.0000     NotChecked  -10.3160    606.3853    ✗       
120   HLTRK                    -1.0000     NotChecked  -10.3172    653.3973    ✗       
121   HLEKVK                   -1.0000     NotChecked  -10.3173    752.4545    ✗       
122   HLSLK                    -1.0000     NotChecked  -10.3179    596.3646    ✗       
123   HLLTYK                   -1.0000     NotChecked  -10.3182    773.4436    ✗       
124   HLKRK                    -1.0000     NotChecked  -10.3191    680.4446    ✗       
125   HLTNK                    -1.0000     NotChecked  -10.3241    611.3391    ✗       
126   HLLRVK                   -1.0000     NotChecked  -10.3247    764.5021    ✗       
127   HLHHNK                   -1.0000     NotChecked  -10.3257    784.4093    ✗       
128   HLKNK                    -1.0000     NotChecked  -10.3261    638.3864    ✗       
129   HLVHNK                   -1.0000     NotChecked  -10.3284    746.4188    ✗       
130   HLLNVK                   -1.0000     NotChecked  -10.3316    722.4439    ✗       
131   HLHKLK                   -1.0000     NotChecked  -10.3331    774.4864    ✗       
132   HLLNYK                   -1.0000     NotChecked  -10.3350    786.4388    ✗       
133   HLVKLK                   -1.0000     NotChecked  -10.3358    736.4959    ✗       
134   HLYHVK                   -1.0000     NotChecked  -10.3368    795.4392    ✗       
135   HLTEK                    -1.0000     NotChecked  -10.3410    626.3388    ✗       
136   HLKEK                    -1.0000     NotChecked  -10.3430    653.3861    ✗       
137   HLLHSK                   -1.0000     NotChecked  -10.3431    733.4235    ✗       
138   HLETNK                   -1.0000     NotChecked  -10.3475    740.3817    ✗       
139   HLLEVK                   -1.0000     NotChecked  -10.3486    737.4436    ✗       
140   HLLHEK                   -1.0000     NotChecked  -10.3490    775.4341    ✗       
141   HLELHK                   -1.0000     NotChecked  -10.3549    775.4341    ✗       
142   HLLC+57.021NK            -1.0000     NotChecked  -10.3565    783.4061    ✗       
143   HLERNK                   -1.0000     NotChecked  -10.3574    795.4351    ✗       
144   HLPC+57.021K             -1.0000     NotChecked  -10.3589    653.3319    ✗       
145   HLSC+57.021K             -1.0000     NotChecked  -10.3608    643.3112    ✗       
146   HLTKK                    -1.0000     NotChecked  -10.3637    625.3911    ✗       
147   HLPHLK                   -1.0000     NotChecked  -10.3641    743.4442    ✗       
148   HLENNK                   -1.0000     NotChecked  -10.3643    753.3770    ✗       
149   HLEHTK                   -1.0000     NotChecked  -10.3651    763.3977    ✗       
150   HLKKK                    -1.0000     NotChecked  -10.3657    652.4384    ✗       
151   HLSHLK                   -1.0000     NotChecked  -10.3661    733.4235    ✗       
152   HLLKVK                   -1.0000     NotChecked  -10.3712    736.4959    ✗       
153   HLYTLK                   -1.0000     NotChecked  -10.3745    773.4436    ✗       
154   HLEVVK                   -1.0000     NotChecked  -10.3803    723.4279    ✗       
155   HLEENK                   -1.0000     NotChecked  -10.3812    768.3766    ✗       
156   HLEVYK                   -1.0000     NotChecked  -10.3836    787.4228    ✗       
157   HLYNLK                   -1.0000     NotChecked  -10.3913    786.4388    ✗       
158   HLEYVK                   -1.0000     NotChecked  -10.3943    787.4228    ✗       
159   HLHVLK                   -1.0000     NotChecked  -10.3961    745.4599    ✗       
160   HLVVLK                   -1.0000     NotChecked  -10.3988    707.4694    ✗       
161   HLLTNK                   -1.0000     NotChecked  -10.4015    724.4232    ✗       
162   HLPTK                    -1.0000     NotChecked  -10.4038    594.3489    ✗       
163   HLEKNK                   -1.0000     NotChecked  -10.4039    767.4290    ✗       
164   HLSTK                    -1.0000     NotChecked  -10.4058    584.3282    ✗       
165   HLLLHK                   -1.0000     NotChecked  -10.4089    759.4755    ✗       
166   HLEHR                    -1.0000     NotChecked  -10.4109    690.3562    ✗       
167   HLLRNK                   -1.0000     NotChecked  -10.4113    779.4766    ✗       
168   HLVYLK                   -1.0000     NotChecked  -10.4129    771.4643    ✗       
169   HLPRK                    -1.0000     NotChecked  -10.4137    649.4024    ✗       
170   HLSRK                    -1.0000     NotChecked  -10.4157    639.3816    ✗       
171   HLLNNK                   -1.0000     NotChecked  -10.4183    737.4184    ✗       
172   HLLHTK                   -1.0000     NotChecked  -10.4191    747.4392    ✗       
173   HLPNK                    -1.0000     NotChecked  -10.4206    607.3442    ✗       
174   HLSNK                    -1.0000     NotChecked  -10.4226    597.3235    ✗       
175   HLVHHK                   -1.0000     NotChecked  -10.4237    769.4347    ✗       
176   HLTVK                    -1.0000     NotChecked  -10.4267    596.3646    ✗       
177   HLKVK                    -1.0000     NotChecked  -10.4287    623.4119    ✗       
178   HLHLVK                   -1.0000     NotChecked  -10.4290    745.4599    ✗       
179   HLVLVK                   -1.0000     NotChecked  -10.4317    707.4694    ✗       
180   HLLVVK                   -1.0000     NotChecked  -10.4343    707.4694    ✗       
181   HLVLYK                   -1.0000     NotChecked  -10.4351    771.4643    ✗       
182   HLLENK                   -1.0000     NotChecked  -10.4352    752.4181    ✗       
183   HLPEK                    -1.0000     NotChecked  -10.4376    622.3439    ✗       
184   HLLVYK                   -1.0000     NotChecked  -10.4376    771.4643    ✗       
185   HLSEK                    -1.0000     NotChecked  -10.4395    612.3231    ✗       
186   HLTYK                    -1.0000     NotChecked  -10.4408    660.3595    ✗       
187   HLETHK                   -1.0000     NotChecked  -10.4427    763.3977    ✗       
188   HLKYK                    -1.0000     NotChecked  -10.4428    687.4068    ✗       
189   HLLYVK                   -1.0000     NotChecked  -10.4483    771.4643    ✗       
190   HLTLLK                   -1.0000     NotChecked  -10.4576    723.4643    ✗       
191   HLLKNK                   -1.0000     NotChecked  -10.4579    751.4705    ✗       
192   HLKLLK                   -1.0000     NotChecked  -10.4595    750.5116    ✗       
193   HLENHK                   -1.0000     NotChecked  -10.4596    776.3929    ✗       
194   HLPKK                    -1.0000     NotChecked  -10.4603    621.3962    ✗       
195   HLSKK                    -1.0000     NotChecked  -10.4622    611.3755    ✗       
196   HLLHR                    -1.0000     NotChecked  -10.4649    674.3976    ✗       
197   HLEVNK                   -1.0000     NotChecked  -10.4669    738.4024    ✗       
198   HLHC+57.021VK            -1.0000     NotChecked  -10.4719    792.4065    ✗       
199   HLVC+57.021VK            -1.0000     NotChecked  -10.4746    754.4160    ✗       
200   HLEEHK                   -1.0000     NotChecked  -10.4765    791.3926    ✗       
201   HLELSK                   -1.0000     NotChecked  -10.4791    725.4072    ✗       
202   HLELEK                   -1.0000     NotChecked  -10.4849    767.4178    ✗       
203   HLNLK                    -1.0000     NotChecked  -10.4911    623.3755    ✗       
204   HLYVLK                   -1.0000     NotChecked  -10.4939    771.4643    ✗       
205   HLLTHK                   -1.0000     NotChecked  -10.4967    747.4391    ✗       
206   HLEKHK                   -1.0000     NotChecked  -10.4992    790.4450    ✗       
207   HLTC+57.021LK            -1.0000     NotChecked  -10.5005    770.4109    ✗       
208   HLTHVK                   -1.0000     NotChecked  -10.5078    733.4235    ✗       
209   HLKHVK                   -1.0000     NotChecked  -10.5097    760.4708    ✗       
210   HLLNHK                   -1.0000     NotChecked  -10.5135    760.4344    ✗       
211   HLHLNK                   -1.0000     NotChecked  -10.5156    760.4344    ✗       
212   HLHTVK                   -1.0000     NotChecked  -10.5168    733.4235    ✗       
213   HLVLNK                   -1.0000     NotChecked  -10.5184    722.4439    ✗       
214   HLVTVK                   -1.0000     NotChecked  -10.5195    695.4330    ✗       
215   HLLVNK                   -1.0000     NotChecked  -10.5209    722.4439    ✗       
216   HLEC+57.021SK            -1.0000     NotChecked  -10.5220    772.3538    ✗       
217   HLVTYK                   -1.0000     NotChecked  -10.5229    759.4279    ✗       
218   HLPVK                    -1.0000     NotChecked  -10.5233    592.3697    ✗       
219   HLSVK                    -1.0000     NotChecked  -10.5252    582.3489    ✗       
220   HLHRVK                   -1.0000     NotChecked  -10.5267    788.4769    ✗       
221   HLYLVK                   -1.0000     NotChecked  -10.5268    771.4643    ✗       
222   HLVRVK                   -1.0000     NotChecked  -10.5294    750.4864    ✗       
223   HLLEHK                   -1.0000     NotChecked  -10.5305    775.4341    ✗       
224   HLLLSK                   -1.0000     NotChecked  -10.5331    709.4487    ✗       
225   HLHNVK                   -1.0000     NotChecked  -10.5336    746.4188    ✗       
226   HLNC+57.021K             -1.0000     NotChecked  -10.5340    670.3221    ✗       
227   HLLYNK                   -1.0000     NotChecked  -10.5350    786.4388    ✗       
228   HLVNVK                   -1.0000     NotChecked  -10.5364    708.4283    ✗       
229   HLPYK                    -1.0000     NotChecked  -10.5373    656.3646    ✗       
230   HLLLEK                   -1.0000     NotChecked  -10.5389    751.4592    ✗       
231   HLNHLK                   -1.0000     NotChecked  -10.5393    760.4344    ✗       
232   HLSYK                    -1.0000     NotChecked  -10.5393    646.3439    ✗       
233   HLVNYK                   -1.0000     NotChecked  -10.5397    772.4232    ✗       
234   HLHHSK                   -1.0000     NotChecked  -10.5451    757.3984    ✗       
235   HLTTLK                   -1.0000     NotChecked  -10.5454    711.4279    ✗       
236   HLKTLK                   -1.0000     NotChecked  -10.5474    738.4752    ✗       
237   HLVHSK                   -1.0000     NotChecked  -10.5479    719.4079    ✗       
238   HLHEVK                   -1.0000     NotChecked  -10.5506    761.4184    ✗       
239   HLLKHK                   -1.0000     NotChecked  -10.5532    774.4864    ✗       
240   HLVEVK                   -1.0000     NotChecked  -10.5533    723.4279    ✗       
241   HLVHEK                   -1.0000     NotChecked  -10.5537    761.4184    ✗       
242   HLPLLK                   -1.0000     NotChecked  -10.5541    719.4694    ✗       
243   HLELTK                   -1.0000     NotChecked  -10.5551    739.4228    ✗       
244   HLTRLK                   -1.0000     NotChecked  -10.5553    766.4813    ✗       
245   HLSLLK                   -1.0000     NotChecked  -10.5560    709.4487    ✗       
246   HLVEYK                   -1.0000     NotChecked  -10.5567    787.4228    ✗       
247   HLKRLK                   -1.0000     NotChecked  -10.5573    793.5286    ✗       
248   HLVC+57.021NK            -1.0000     NotChecked  -10.5613    769.3905    ✗       
249   HLEVHK                   -1.0000     NotChecked  -10.5622    761.4184    ✗       
250   HLTNLK                   -1.0000     NotChecked  -10.5622    724.4232    ✗       
251   HLKNLK                   -1.0000     NotChecked  -10.5642    751.4705    ✗       
252   HLETSK                   -1.0000     NotChecked  -10.5669    713.3708    ✗       
253   HLETEK                   -1.0000     NotChecked  -10.5728    755.3814    ✗       
254   HLHKVK                   -1.0000     NotChecked  -10.5733    760.4708    ✗       
255   HLLC+57.021SK            -1.0000     NotChecked  -10.5760    756.3952    ✗       
256   HLVKVK                   -1.0000     NotChecked  -10.5760    722.4803    ✗       
257   HLERSK                   -1.0000     NotChecked  -10.5768    768.4242    ✗       
258   HLNTK                    -1.0000     NotChecked  -10.5790    611.3391    ✗       
259   HLTELK                   -1.0000     NotChecked  -10.5792    739.4228    ✗       
260   HLVKYK                   -1.0000     NotChecked  -10.5794    786.4752    ✗       
261   HLKELK                   -1.0000     NotChecked  -10.5811    766.4701    ✗       
262   HLENSK                   -1.0000     NotChecked  -10.5838    726.3661    ✗       
263   HLNRK                    -1.0000     NotChecked  -10.5889    666.3925    ✗       
264   HLENEK                   -1.0000     NotChecked  -10.5896    768.3766    ✗       
265   HLTHNK                   -1.0000     NotChecked  -10.5944    748.3980    ✗       
266   HLNNK                    -1.0000     NotChecked  -10.5958    624.3344    ✗       
267   HLKHNK                   -1.0000     NotChecked  -10.5964    775.4453    ✗       
268   HLPC+57.021LK            -1.0000     NotChecked  -10.5970    766.4160    ✗       
269   HLEC+57.021TK            -1.0000     NotChecked  -10.5980    786.3694    ✗       
270   HLSC+57.021LK            -1.0000     NotChecked  -10.5990    756.3952    ✗       
271   HLEESK                   -1.0000     NotChecked  -10.6007    741.3657    ✗       
272   HLELR                    -1.0000     NotChecked  -10.6009    666.3813    ✗       
273   HLTKLK                   -1.0000     NotChecked  -10.6019    738.4752    ✗       
274   HLHTNK                   -1.0000     NotChecked  -10.6035    748.3980    ✗       
275   HLKKLK                   -1.0000     NotChecked  -10.6038    765.5225    ✗       
276   HLPHVK                   -1.0000     NotChecked  -10.6043    729.4286    ✗       
277   HLVTNK                   -1.0000     NotChecked  -10.6062    710.4075    ✗       
278   HLSHVK                   -1.0000     NotChecked  -10.6063    719.4079    ✗       
279   HLEEEK                   -1.0000     NotChecked  -10.6065    783.3763    ✗       
280   HLPHYK                   -1.0000     NotChecked  -10.6077    793.4235    ✗       
281   HLLLTK                   -1.0000     NotChecked  -10.6091    723.4643    ✗       
282   HLSHYK                   -1.0000     NotChecked  -10.6096    783.4028    ✗       
283   HLHLHK                   -1.0000     NotChecked  -10.6109    783.4504    ✗       
284   HLNEK                    -1.0000     NotChecked  -10.6127    639.3340    ✗       
285   HLYLNK                   -1.0000     NotChecked  -10.6134    786.4388    ✗       
286   HLVLHK                   -1.0000     NotChecked  -10.6136    745.4599    ✗       
287   HLYTVK                   -1.0000     NotChecked  -10.6146    759.4279    ✗       
288   HLVRNK                   -1.0000     NotChecked  -10.6161    765.4610    ✗       
289   HLLVHK                   -1.0000     NotChecked  -10.6162    745.4599    ✗       
290   HLHNNK                   -1.0000     NotChecked  -10.6203    761.3933    ✗       
291   HLLTSK                   -1.0000     NotChecked  -10.6209    697.4123    ✗       
292   HLHHTK                   -1.0000     NotChecked  -10.6211    771.4140    ✗       
293   HLVNNK                   -1.0000     NotChecked  -10.6230    723.4028    ✗       
294   HLEKSK                   -1.0000     NotChecked  -10.6234    740.4181    ✗       
295   HLVHTK                   -1.0000     NotChecked  -10.6239    733.4235    ✗       
296   HLLTEK                   -1.0000     NotChecked  -10.6268    739.4228    ✗       
297   HLEKEK                   -1.0000     NotChecked  -10.6292    782.4287    ✗       
298   HLLRSK                   -1.0000     NotChecked  -10.6308    752.4657    ✗       
299   HLYNVK                   -1.0000     NotChecked  -10.6315    772.4232    ✗       
300   HLNKK                    -1.0000     NotChecked  -10.6354    638.3864    ✗       
301   HLHVVK                   -1.0000     NotChecked  -10.6363    731.4442    ✗       
302   HLLREK                   -1.0000     NotChecked  -10.6367    794.4763    ✗       
303   HLHENK                   -1.0000     NotChecked  -10.6372    776.3929    ✗       
304   HLLNSK                   -1.0000     NotChecked  -10.6378    710.4075    ✗       
305   HLVVVK                   -1.0000     NotChecked  -10.6390    693.4537    ✗       
306   HLHVYK                   -1.0000     NotChecked  -10.6396    795.4392    ✗       
307   HLVENK                   -1.0000     NotChecked  -10.6400    738.4024    ✗       
308   HLPTLK                   -1.0000     NotChecked  -10.6419    707.4330    ✗       
309   HLVVYK                   -1.0000     NotChecked  -10.6424    757.4487    ✗       
310   HLETTK                   -1.0000     NotChecked  -10.6429    727.3864    ✗       
311   HLYHSK                   -1.0000     NotChecked  -10.6430    783.4028    ✗       
312   HLLNEK                   -1.0000     NotChecked  -10.6436    752.4181    ✗       
313   HLEC+57.021R             -1.0000     NotChecked  -10.6438    713.3279    ✗       
314   HLSTLK                   -1.0000     NotChecked  -10.6439    697.4123    ✗       
315   HLYEVK                   -1.0000     NotChecked  -10.6484    787.4228    ✗       
316   HLHYVK                   -1.0000     NotChecked  -10.6503    795.4392    ✗       
317   HLPRLK                   -1.0000     NotChecked  -10.6518    762.4864    ✗       
318   HLLC+57.021TK            -1.0000     NotChecked  -10.6520    770.4109    ✗       
319   HLERTK                   -1.0000     NotChecked  -10.6528    782.4399    ✗       
320   HLVYVK                   -1.0000     NotChecked  -10.6531    757.4487    ✗       
321   HLSRLK                   -1.0000     NotChecked  -10.6538    752.4657    ✗       
322   HLLESK                   -1.0000     NotChecked  -10.6547    725.4072    ✗       
323   HLLLR                    -1.0000     NotChecked  -10.6549    650.4228    ✗       
324   HLLLC+57.021K            -1.0000     NotChecked  -10.6550    782.4473    ✗       
325   HLVC+57.021HK            -1.0000     NotChecked  -10.6565    792.4065    ✗       
326   HLPNLK                   -1.0000     NotChecked  -10.6588    720.4283    ✗       
327   HLENTK                   -1.0000     NotChecked  -10.6597    740.3817    ✗       
328   HLHKNK                   -1.0000     NotChecked  -10.6599    775.4453    ✗       
329   HLLEEK                   -1.0000     NotChecked  -10.6605    767.4178    ✗       
330   HLSNLK                   -1.0000     NotChecked  -10.6607    710.4075    ✗       
331   HLVKNK                   -1.0000     NotChecked  -10.6626    737.4548    ✗       
332   HLEHK                    -1.0000     NotChecked  -10.6629    662.3500    ✗       
333   HLTVLK                   -1.0000     NotChecked  -10.6649    709.4487    ✗       
334   HLKVLK                   -1.0000     NotChecked  -10.6668    736.4959    ✗       
335   HLHHR                    -1.0000     NotChecked  -10.6669    698.3725    ✗       
336   HLVHR                    -1.0000     NotChecked  -10.6697    660.3820    ✗       
337   HLVHC+57.021K            -1.0000     NotChecked  -10.6698    792.4065    ✗       
338   HLYKVK                   -1.0000     NotChecked  -10.6711    786.4752    ✗       
339   HLPELK                   -1.0000     NotChecked  -10.6757    735.4279    ✗       
340   HLEETK                   -1.0000     NotChecked  -10.6767    755.3814    ✗       
341   HLLKSK                   -1.0000     NotChecked  -10.6774    724.4596    ✗       
342   HLSELK                   -1.0000     NotChecked  -10.6777    725.4072    ✗       
343   HLTYLK                   -1.0000     NotChecked  -10.6789    773.4436    ✗       
344   HLLKEK                   -1.0000     NotChecked  -10.6832    766.4701    ✗       
345   HLEVSK                   -1.0000     NotChecked  -10.6864    711.3915    ✗       
346   HLETR                    -1.0000     NotChecked  -10.6887    654.3449    ✗       
347   HLETC+57.021K            -1.0000     NotChecked  -10.6888    786.3694    ✗       
348   HLTHHK                   -1.0000     NotChecked  -10.6897    771.4140    ✗       
